200 ringroad,ringroad,200
500 ringroad,ringroad,500
1k diamond,diamond,1k
1k ringroad,ringroad,1k
2k diamond,diamond,2k
1.5k ringroad,ringroad,1.5k
2.5k diamond,diamond,2.5k
2k ringroad,ringroad,2k
5k diamond,diamond,5k
5k ringroad,ringroad,5k
5k grid,grid,50k,5k
10k grid,grid,50k,10k
15k grid,grid,50k,15k
20k grid,grid,50k,20k
25k grid,grid,50k,25k
30k grid,grid,50k,30k
35k grid,grid,50k,35k
40k grid,grid,50k,40k
45k grid,grid,50k,45k
50k grid,grid,50k,50k
55k ringroad,ringroad,55k
62.5k ringroad,ringroad,62.5k
75k ringroad,ringroad,75k
100k ringroad,ringroad,100k
125k ringroad,ringroad,125k
125k diamond,diamond,125k
250k diamond,diamond,250k
250k ringroad,ringroad,250k
500k diamond,diamond,500k
500k ringroad,ringroad,500k
750k ringroad,ringroad,750k
1m ringroad,ringroad,1m
1.25m ringroad,ringroad,1.25m
1.5m ringroad,ringroad,1.5m
1.765m ringroad,ringroad,1.765m
2.5m ringroad,ringroad,2.5m
3.75m diamond,diamond,3.75m
3.75m ringroad,ringroad,3.75m
+X Superhighway,highway,+,0,3.75m
+Z Superhighway,highway,0,+,3.75m
-X Superhighway,highway,-,0,3.75m
-Z Superhighway,highway,0,-,3.75m
++ Superhighway,highway,+,+,3.75m
+- Superhighway,highway,+,-,3.75m
-+ Superhighway,highway,-,+,3.75m
-- Superhighway,highway,-,-,3.75m